Client	Amount	Date
Fiat	3750	1/30/2014
Fiat	3750	2/28/2013
Fiat	3750	3/31/2013
Fiat	3750	4/31/2013
Fiat	3750	5/31/2013
Fiat	3750	6/30/2013
Fiat	3750	7/31/2013
Fiat	3750	8/31/2013
Fiat	3750	9/30/2013
Fiat	3750	10/31/2013
Fiat	3750	11/30/2013
Fiat	3750	12/31/2013
ADT	856	1/30/2014
ADT	2950	2/28/2013
ADT	2950	3/31/2013
ADT	2950	4/30/2013
ADT	2950	5/31/2013
ADT	2950	6/30/2013
ADT	2950	7/30/2013
ADT	2950	8/30/2013
ADT	2950	9/30/2013
ADT	2950	10/30/2013
ADT	2950	11/30/2013
ADT	2950	12/31/2013
ACG	6300	1/30/2014
ACG	6300	2/28/2013
ACG	6300	3/31/2013
ACG	6300	4/30/2013
ACG	6300	5/31/2013
ACG	6300	6/30/2013
ACG	6300	7/30/2013
ACG	6300	8/30/2013
ACG	6300	9/30/2013
ACG	6300	10/30/2013
ACG	6300	11/30/2013
ACG	6300	12/29/2013
Mazda	15675	1/30/2014
Mazda	15675	2/28/2013
Mazda	15675	3/31/2013
Mazda	15675	4/30/2013
Mazda	15675	5/31/2013
Mazda	15675	6/30/2013
Mazda	15675	7/30/2013
Mazda	15675	8/30/2013
Mazda	15675	9/30/2013
Mazda	15675	10/30/2013
Mazda	15675	11/30/2013
Mazda	15675	12/29/2013
TR	4995	1/30/2014
TR	4995	2/28/2013
TR	4995	3/31/2013
TR	4995	4/30/2013
TR	4995	5/31/2013
TR	4995	6/30/2013
TR	4995	7/30/2013
TR	4995	8/30/2013
TR	4995	9/30/2013
TR	4995	10/30/2013
TR	4995	11/30/2013
TR	4995	12/29/2013
Ford	5483	9/30/2013
Ford	22437.53	3/31/2013
Ford	23952.49	4/30/2013
Ford	18519.22	5/31/2013
Ford	16070.8	6/30/2013
Ford	12180	7/30/2013
Ford	8683	8/30/2013
Ford	19389	10/30/2013
Ford	8793	11/30/2013
Ford	3214.75	12/29/2013
Ford	19309	2/28/2013
Arby	8682	2/28/2013
Arby	23664	3/31/2013
Arby	36000	4/30/2013
Arby	68346	5/31/2013
Arby	5000	6/30/2013
Arby	5000	7/30/2013
Arby	5000	8/30/2013
Arby	5000	9/30/2013
Arby	5000	10/30/2013
Arby	5000	11/30/2013
Arby	5000	12/29/2013
Arby	5000	1/30/2014
Internal	11980	9/30/2013
Internal	17080	10/30/2013
